delivery_date,customer_code,order_count,total_weight,total_volume,total_volume_m3,quantity_order,tw_start_min,tw_end_min,service_time_min_baseline,tw_duration_hour,density_kg_m3
DEMO_DATE_1,DEMO_C001,1,12.139465100891314,7018.408454485305,0.007018408454485305,13,480,840,8.911095506019091,6,1729.660674441548
DEMO_DATE_1,DEMO_C002,1,17.307882465452842,12367.866318156606,0.012367866318156607,4,600,720,11.727560440146213,2,1399.423475336571
DEMO_DATE_1,DEMO_C003,1,47.14834039822692,5716.668577961849,0.00571666857796185,14,600,960,5.958979355941121,6,8247.520344276563
DEMO_DATE_1,DEMO_C004,1,22.650143642222826,17843.118467222837,0.01784311846722284,14,600,780,8.264728640701122,3,1269.4049912760663
DEMO_DATE_1,DEMO_C005,1,36.962480003173255,5182.564155364238,0.005182564155364238,8,600,720,8.401001849547054,2,7132.083442694108
DEMO_DATE_1,DEMO_C006,1,23.794464531400497,6061.999537524648,0.006061999537524648,16,480,720,6.932943892894945,4,3925.184154850119
DEMO_DATE_1,DEMO_C007,1,7.343984732682813,2741.6302793537825,0.0027416302793537824,16,480,720,11.016212416937131,4,2678.6925968784644
DEMO_DATE_1,DEMO_C008,1,46.66742969566319,14770.84586074838,0.01477084586074838,17,600,840,14.293378015753163,4,3159.4283858635254
DEMO_DATE_1,DEMO_C_BIG,1,15000.0,6000000.0,6.0,100,480,720,20.0,4,2500.0
DEMO_DATE_2,DEMO_C001,1,27.7631144450353,18815.78621658738,0.01881578621658738,7,540,720,9.517787074747606,3,1475.522421729061
DEMO_DATE_2,DEMO_C002,1,33.586907246576985,7286.927678874038,0.007286927678874038,18,480,720,7.570741752765343,4,4609.200025952058
DEMO_DATE_2,DEMO_C003,1,17.65158854290567,5918.214574215619,0.005918214574215619,2,600,780,11.286045440996787,3,2982.5867787575366
DEMO_DATE_2,DEMO_C004,1,14.836752663830795,2293.666100270969,0.002293666100270969,12,480,720,6.763263202812034,4,6468.575640577333
DEMO_DATE_2,DEMO_C005,1,15.91503097375989,9376.849406646243,0.009376849406646242,16,540,660,9.743331153335445,2,1697.268483642217
DEMO_DATE_2,DEMO_C006,1,24.342073898978402,5849.414722570506,0.005849414722570506,6,480,600,7.790671198137666,2,4161.4546161434355
DEMO_DATE_2,DEMO_C007,1,13.76838141207358,10172.470263186999,0.010172470263187,12,540,660,7.462613258307376,2,1353.4943878774234
DEMO_DATE_2,DEMO_C008,1,42.08564997088029,4422.481211805666,0.0044224812118056666,17,540,660,6.782994448451874,2,9516.298194446603
DEMO_DATE_2,DEMO_C_BIG,1,15000.0,6000000.0,6.0,100,480,720,20.0,4,2500.0
DEMO_DATE_3,DEMO_C001,1,37.77603526492496,12611.28767278074,0.01261128767278074,17,600,720,7.492605695349125,2,2995.414603574378
DEMO_DATE_3,DEMO_C002,1,5.193014867341342,12743.077724043727,0.012743077724043728,11,600,960,11.345267112152758,6,407.5165340585756
DEMO_DATE_3,DEMO_C003,1,9.544331325878025,5715.125307272597,0.005715125307272597,16,540,780,13.750736007561262,4,1670.0126091255945
DEMO_DATE_3,DEMO_C004,1,22.0060246954596,12749.48971255018,0.01274948971255018,6,480,720,6.789628552928676,4,1726.0318013981055
DEMO_DATE_3,DEMO_C005,1,1.4758942619771778,4990.816210520607,0.0049908162105206065,17,600,960,9.417923431911024,6,295.7220221546132
DEMO_DATE_3,DEMO_C006,1,19.558725245653413,6242.994544094853,0.006242994544094853,19,600,840,5.58202605265844,4,3132.907630706436
DEMO_DATE_3,DEMO_C007,1,21.02796104423089,4203.948046041234,0.004203948046041234,11,480,600,7.037675961556124,2,5001.955498482542
DEMO_DATE_3,DEMO_C008,1,28.050496783319463,7972.888698981682,0.007972888698981682,10,600,720,8.334377966962858,2,3518.235089234614
DEMO_DATE_3,DEMO_C_BIG,1,15000.0,6000000.0,6.0,100,480,720,20.0,4,2500.0
